Month Start,Mean Temperature
1976-01-01 00:00:00,15.54
1976-02-01 00:00:00,13.78
1976-03-01 00:00:00,15.02
1976-04-01 00:00:00,12.55
1976-05-01 00:00:00,9.32
1976-06-01 00:00:00,6.75
1976-07-01 00:00:00,6.83
1976-08-01 00:00:00,8.09
1976-09-01 00:00:00,8.66
1976-10-01 00:00:00,9.94
1976-11-01 00:00:00,11.33
1976-12-01 00:00:00,14.36
1977-01-01 00:00:00,14.63
1977-02-01 00:00:00,16.07
1977-03-01 00:00:00,15.18
1977-04-01 00:00:00,12.38
1977-05-01 00:00:00,8.32
1977-06-01 00:00:00,7.61
1977-07-01 00:00:00,7.17
1977-08-01 00:00:00,7.83
1977-09-01 00:00:00,7.66
1977-10-01 00:00:00,10.64
1977-11-01 00:00:00,12.04
1977-12-01 00:00:00,13.60
1978-01-01 00:00:00,16.59
1978-02-01 00:00:00,16.92
1978-03-01 00:00:00,15.40
1978-04-01 00:00:00,14.12
1978-05-01 00:00:00,10.37
1978-06-01 00:00:00,6.93
1978-07-01 00:00:00,7.67
1978-08-01 00:00:00,8.33
1978-09-01 00:00:00,9.42
1978-10-01 00:00:00,10.30
1978-11-01 00:00:00,13.04
1978-12-01 00:00:00,14.49
1979-01-01 00:00:00,16.09
1979-02-01 00:00:00,15.58
1979-03-01 00:00:00,15.59
1979-04-01 00:00:00,12.40
1979-05-01 00:00:00,9.55
1979-06-01 00:00:00,8.46
1979-07-01 00:00:00,7.55
1979-08-01 00:00:00,7.44
1979-09-01 00:00:00,9.73
1979-10-01 00:00:00,11.00
1979-11-01 00:00:00,13.54
1979-12-01 00:00:00,14.57
1980-01-01 00:00:00,15.86
1980-02-01 00:00:00,15.82
1980-03-01 00:00:00,14.03
1980-04-01 00:00:00,11.85
1980-05-01 00:00:00,10.22
1980-06-01 00:00:00,7.57
1980-07-01 00:00:00,6.79
1980-08-01 00:00:00,7.79
1980-09-01 00:00:00,10.09
1980-10-01 00:00:00,11.83
1980-11-01 00:00:00,11.89
1980-12-01 00:00:00,14.51
1981-01-01 00:00:00,16.84
1981-02-01 00:00:00,16.42
1981-03-01 00:00:00,16.14
1981-04-01 00:00:00,13.42
1981-05-01 00:00:00,9.36
1981-06-01 00:00:00,8.25
1981-07-01 00:00:00,7.09
1981-08-01 00:00:00,7.03
1981-09-01 00:00:00,9.07
1981-10-01 00:00:00,11.03
1981-11-01 00:00:00,13.18
1981-12-01 00:00:00,15.80
1982-01-01 00:00:00,16.11
1982-02-01 00:00:00,16.76
1982-03-01 00:00:00,14.77
1982-04-01 00:00:00,10.77
1982-05-01 00:00:00,10.21
1982-06-01 00:00:00,6.86
1982-07-01 00:00:00,6.30
1982-08-01 00:00:00,8.22
1982-09-01 00:00:00,9.28
1982-10-01 00:00:00,9.91
1982-11-01 00:00:00,13.26
1982-12-01 00:00:00,13.42
1983-01-01 00:00:00,14.75
1983-02-01 00:00:00,14.83
1983-03-01 00:00:00,14.40
1983-04-01 00:00:00,11.93
1983-05-01 00:00:00,9.51
1983-06-01 00:00:00,7.57
1983-07-01 00:00:00,6.34
1983-08-01 00:00:00,8.16
1983-09-01 00:00:00,9.75
1983-10-01 00:00:00,11.44
1983-11-01 00:00:00,12.81
1983-12-01 00:00:00,13.62
1984-01-01 00:00:00,14.54
1984-02-01 00:00:00,15.88
1984-03-01 00:00:00,15.47
1984-04-01 00:00:00,12.40
1984-05-01 00:00:00,9.36
1984-06-01 00:00:00,8.57
1984-07-01 00:00:00,7.81
1984-08-01 00:00:00,8.77
1984-09-01 00:00:00,9.49
1984-10-01 00:00:00,10.99
1984-11-01 00:00:00,14.05
1984-12-01 00:00:00,15.54
1985-01-01 00:00:00,17.23
1985-02-01 00:00:00,16.32
1985-03-01 00:00:00,14.60
1985-04-01 00:00:00,12.46
1985-05-01 00:00:00,9.33
